SandLow,SandHigh,SiltLow,SiltHigh,ClayLow,ClayHigh,Class,Ksat,Sav,DP
0,45,0,40,40,100,Clay,0.000000167,3.16E-01,0.0002
0,20,40,60,40,60,SiltyClay,0.000000278,2.92E-01,0.0024
45,65,0,20,35,55,SandyClay,0.000000333,2.39E-01,0.0066
0,20,40,73,27,40,SiltyClayLoam,0.000000556,2.73E-01,0.0025
45,80,0,28,20,35,SandyClayLoam,0.000000833,2.19E-01,0.0091
20,45,15,52,27,40,ClayLoam,0.000000556,2.09E-01,0.0018
0,20,88,100,0,12,Silt,0,0.00E+00,0.0019
0,50,50,88,0,27,SiltyLoam,0.00000189,1.67E-01,0.0027
23,52,28,50,7,27,Loam,0.00000367,8.89E-02,0.0035
50,70,0,50,0,20,SandyLoam,0.00000606,1.10E-01,0.0098
70,86,0,30,0,15,LoamySand,0.0000166,6.13E-02,0.0135
86,100,0,14,0,10,Sand,0.0000654,4.95E-02,0.017
